num,x_coord,y_coord,radius,angle_rad,label,is_pseudo,pseudo_types
139,0,6,6.0,1.5708,prime,0,
140,-1,6,6.0828,1.7359,comp,0,
141,-2,6,6.3246,1.8925,comp,0,
142,-3,6,6.7082,2.0344,comp,0,
143,-4,6,7.2111,2.1588,comp,0,
144,-5,6,7.8102,2.2655,comp,0,
145,-6,6,8.4853,2.3562,comp,0,
146,-6,5,7.8102,2.4469,comp,0,
147,-6,4,7.2111,2.5536,comp,0,
148,-6,3,6.7082,2.6779,comp,0,
149,-6,2,6.3246,2.8198,prime,0,
150,-6,1,6.0828,2.9764,comp,0,
151,-6,0,6.0,3.1416,prime,0,
152,-6,-1,6.0828,3.3067,comp,0,
153,-6,-2,6.3246,3.4633,comp,0,
154,-6,-3,6.7082,3.6052,comp,0,
155,-6,-4,7.2111,3.7296,comp,0,
156,-6,-5,7.8102,3.8363,comp,0,
157,-6,-6,8.4853,3.927,prime,0,
158,-5,-6,7.8102,4.0177,comp,0,
159,-4,-6,7.2111,4.1244,comp,0,
160,-3,-6,6.7082,4.2487,comp,0,
161,-2,-6,6.3246,4.3906,comp,0,
162,-1,-6,6.0828,4.5472,comp,0,
163,0,-6,6.0,4.7124,prime,0,
164,1,-6,6.0828,4.8775,comp,0,
165,2,-6,6.3246,5.0341,comp,0,
166,3,-6,6.7082,5.176,comp,0,
167,4,-6,7.2111,5.3004,prime,0,
168,5,-6,7.8102,5.4071,comp,0,
169,6,-6,8.4853,5.4978,pseudo,1,NSW
170,7,-6,9.2195,5.5746,comp,0,
171,7,-5,8.6023,5.6629,comp,0,
172,7,-4,8.0623,5.764,comp,0,
173,7,-3,7.6158,5.8783,prime,0,
174,7,-2,7.2801,6.0049,comp,0,
175,7,-1,7.0711,6.1413,comp,0,
176,7,0,7.0,0.0,comp,0,
177,7,1,7.0711,0.1419,comp,0,
178,7,2,7.2801,0.2783,comp,0,
179,7,3,7.6158,0.4049,prime,0,
180,7,4,8.0623,0.5191,comp,0,
181,7,5,8.6023,0.6202,prime,0,
182,7,6,9.2195,0.7086,comp,0,
183,7,7,9.8995,0.7854,comp,0,
184,6,7,9.2195,0.8622,comp,0,
185,5,7,8.6023,0.9505,comp,0,
186,4,7,8.0623,1.0517,comp,0,
187,3,7,7.6158,1.1659,comp,0,
188,2,7,7.2801,1.2925,comp,0,
189,1,7,7.0711,1.4289,comp,0,
190,0,7,7.0,1.5708,comp,0,
191,-1,7,7.0711,1.7127,prime,0,
192,-2,7,7.2801,1.8491,comp,0,
193,-3,7,7.6158,1.9757,prime,0,
194,-4,7,8.0623,2.0899,comp,0,
195,-5,7,8.6023,2.191,comp,0,
196,-6,7,9.2195,2.2794,comp,0,
197,-7,7,9.8995,2.3562,prime,0,
198,-7,6,9.2195,2.433,comp,0,
199,-7,5,8.6023,2.5213,prime,0,
200,-7,4,8.0623,2.6224,comp,0,
201,-7,3,7.6158,2.7367,comp,0,
202,-7,2,7.2801,2.8633,comp,0,
203,-7,1,7.0711,2.9997,comp,0,
204,-7,0,7.0,3.1416,comp,0,
205,-7,-1,7.0711,3.2835,comp,0,
206,-7,-2,7.2801,3.4199,comp,0,
207,-7,-3,7.6158,3.5465,comp,0,
208,-7,-4,8.0623,3.6607,comp,0,
209,-7,-5,8.6023,3.7618,comp,0,
210,-7,-6,9.2195,3.8502,comp,0,
211,-7,-7,9.8995,3.927,prime,0,
212,-6,-7,9.2195,4.0038,comp,0,
213,-5,-7,8.6023,4.0921,comp,0,
214,-4,-7,8.0623,4.1932,comp,0,
215,-3,-7,7.6158,4.3075,comp,0,
216,-2,-7,7.2801,4.4341,comp,0,
217,-1,-7,7.0711,4.5705,pseudo,1,FERMAT_5|EULER_5
218,0,-7,7.0,4.7124,comp,0,
219,1,-7,7.0711,4.8543,comp,0,
220,2,-7,7.2801,4.9907,comp,0,
221,3,-7,7.6158,5.1173,comp,0,
222,4,-7,8.0623,5.2315,comp,0,
223,5,-7,8.6023,5.3326,prime,0,
224,6,-7,9.2195,5.421,comp,0,
225,7,-7,9.8995,5.4978,comp,0,
226,8,-7,10.6301,5.5644,comp,0,
227,8,-6,10.0,5.6397,prime,0,
228,8,-5,9.434,5.7246,comp,0,
229,8,-4,8.9443,5.8195,prime,0,
230,8,-3,8.544,5.9244,comp,0,
231,8,-2,8.2462,6.0382,comp,0,
232,8,-1,8.0623,6.1588,comp,0,
233,8,0,8.0,0.0,prime,0,
234,8,1,8.0623,0.1244,comp,0,
235,8,2,8.2462,0.245,comp,0,
236,8,3,8.544,0.3588,comp,0,
237,8,4,8.9443,0.4636,comp,0,
238,8,5,9.434,0.5586,comp,0,
239,8,6,10.0,0.6435,prime,0,
240,8,7,10.6301,0.7188,comp,0,
241,8,8,11.3137,0.7854,prime,0,
242,7,8,10.6301,0.852,comp,0,
243,6,8,10.0,0.9273,comp,0,
244,5,8,9.434,1.0122,comp,0,
245,4,8,8.9443,1.1071,comp,0,
246,3,8,8.544,1.212,comp,0,
247,2,8,8.2462,1.3258,comp,0,
248,1,8,8.0623,1.4464,comp,0,
249,0,8,8.0,1.5708,comp,0,
